station,Location
Aberporth,"-4.57, 52.139"
Armagh,"-6.649, 54.352"
ballypatrick,"-6.153, 55.181"
Bradford,"-1.772, 53.813"
braemar,"-3.396, 57.011"
Camborne,"-5.327, 50.218"
cambridge,"0.102, 52.245"
cardiff,"-3.187, 51.488"
Chivenor,"-4.147, 51.089"
Cwmystwyth,"-3.802, 52.358"
Dunstaffnage,"-5.439, 56.451"
Durham,"-1.585, 54.768"
Eastbourne,"0.285, 50.759"
Eskdalemuir,"-3.205, 55.312"
Heathrow,"-0.449, 51.479"
Hurn,"-1.835, 50.779"
Lerwick,"-1.183, 60.139"
Leuchars,"-2.861, 56.377"
lowestoft,"1.727, 52.483"
Manston,"1.337, 51.346"
nairn,"-3.821, 57.593"
newtonrigg,"-2.786, 54.67"
Oxford,"-1.262, 51.761"
Paisley,"-4.43, 55.846"
Ringway,"-2.279, 53.356"
rossonwye,"-2.584, 51.911"
Shawbury,"-2.663, 52.794"
Sheffield,"-1.49, 53.381"
southampton,"-1.408, 50.898"
stornoway,"-6.318, 58.214"
suttonbonington,"-1.25, 52.836"
Tiree,"-6.88, 56.5"
Valley,"-4.535, 53.252"
Waddington,"-0.522, 53.175"
Whitby,"-0.624, 54.481"
wickairport,"-3.088, 58.454"
Yeovilton,"-2.641, 51.006"
